attack,method,seed,round,acc
ALIE,TrimmedMean (non-DP),0,45,0.6488
ALIE,TrimmedMean (non-DP),0,50,0.6546
ALIE,TrimmedMean (non-DP),0,55,0.6497
ALIE,TrimmedMean (non-DP),0,60,0.6665
ALIE,TrimmedMean (non-DP),0,65,0.6522
ALIE,TrimmedMean (non-DP),0,70,0.6809
ALIE,TrimmedMean (non-DP),0,75,0.6843
ALIE,TrimmedMean (non-DP),0,80,0.6864
ALIE,TrimmedMean (non-DP),0,85,0.703
ALIE,TrimmedMean (non-DP),0,90,0.6567
ALIE,TrimmedMean (non-DP),0,95,0.6839
ALIE,TrimmedMean (non-DP),0,100,0.696
ALIE,TrimmedMean (non-DP),0,105,0.667
ALIE,TrimmedMean (non-DP),0,110,0.6884
ALIE,TrimmedMean (non-DP),0,115,0.6764
ALIE,TrimmedMean (non-DP),0,120,0.6724
ALIE,TrimmedMean (non-DP),0,125,0.6765
ALIE,TrimmedMean (non-DP),0,130,0.6742
ALIE,TrimmedMean (non-DP),0,135,0.6472
ALIE,TrimmedMean (non-DP),0,140,0.6511
ALIE,TrimmedMean (non-DP),0,145,0.6462
ALIE,TrimmedMean (non-DP),0,150,0.6257
ALIE,TrimmedMean (non-DP),0,155,0.64
ALIE,TrimmedMean (non-DP),0,160,0.6208
ALIE,TrimmedMean (non-DP),0,165,0.6361
ALIE,TrimmedMean (non-DP),0,170,0.6163
ALIE,TrimmedMean (non-DP),0,175,0.6124
ALIE,TrimmedMean (non-DP),0,180,0.6036
ALIE,TrimmedMean (non-DP),1,0,0.1713
ALIE,TrimmedMean (non-DP),1,5,0.5378
ALIE,TrimmedMean (non-DP),1,10,0.6158
ALIE,TrimmedMean (non-DP),1,15,0.6468
ALIE,TrimmedMean (non-DP),1,20,0.6614
ALIE,TrimmedMean (non-DP),1,25,0.6273
ALIE,TrimmedMean (non-DP),1,30,0.6607
ALIE,TrimmedMean (non-DP),1,35,0.668
ALIE,TrimmedMean (non-DP),1,40,0.6555
ALIE,TrimmedMean (non-DP),1,45,0.6748
ALIE,TrimmedMean (non-DP),1,50,0.6663
ALIE,TrimmedMean (non-DP),1,55,0.6314
ALIE,TrimmedMean (non-DP),1,60,0.6607
ALIE,TrimmedMean (non-DP),1,65,0.6655
ALIE,TrimmedMean (non-DP),1,70,0.6804
ALIE,TrimmedMean (non-DP),1,75,0.6796
ALIE,TrimmedMean (non-DP),1,80,0.6843
ALIE,TrimmedMean (non-DP),1,85,0.6796
ALIE,TrimmedMean (non-DP),1,90,0.691
ALIE,TrimmedMean (non-DP),1,95,0.6568
ALIE,TrimmedMean (non-DP),1,100,0.6757
ALIE,TrimmedMean (non-DP),1,105,0.6551
ALIE,TrimmedMean (non-DP),1,110,0.6555
ALIE,TrimmedMean (non-DP),1,115,0.6662
ALIE,TrimmedMean (non-DP),1,120,0.6765
ALIE,TrimmedMean (non-DP),1,125,0.6755
ALIE,TrimmedMean (non-DP),1,130,0.6592
ALIE,TrimmedMean (non-DP),1,135,0.6303
ALIE,TrimmedMean (non-DP),1,140,0.6406
ALIE,TrimmedMean (non-DP),1,145,0.6538
ALIE,TrimmedMean (non-DP),1,150,0.6329
ALIE,TrimmedMean (non-DP),1,155,0.639
ALIE,TrimmedMean (non-DP),1,160,0.6554
ALIE,TrimmedMean (non-DP),1,165,0.6573
ALIE,TrimmedMean (non-DP),1,170,0.6424
ALIE,TrimmedMean (non-DP),1,175,0.6345
ALIE,TrimmedMean (non-DP),1,180,0.6214
ALIE,TrimmedMean (non-DP),2,0,0.1001
ALIE,TrimmedMean (non-DP),2,5,0.4098
ALIE,TrimmedMean (non-DP),2,10,0.6171
ALIE,TrimmedMean (non-DP),2,15,0.6695
ALIE,TrimmedMean (non-DP),2,20,0.6585
ALIE,TrimmedMean (non-DP),2,25,0.6843
ALIE,TrimmedMean (non-DP),2,30,0.672
ALIE,TrimmedMean (non-DP),2,35,0.6846
ALIE,TrimmedMean (non-DP),2,40,0.694
ALIE,TrimmedMean (non-DP),2,45,0.6846
ALIE,TrimmedMean (non-DP),2,50,0.6774
ALIE,TrimmedMean (non-DP),2,55,0.679
ALIE,TrimmedMean (non-DP),2,60,0.7129
ALIE,TrimmedMean (non-DP),2,65,0.713
ALIE,TrimmedMean (non-DP),2,70,0.677
ALIE,TrimmedMean (non-DP),2,75,0.6859
ALIE,TrimmedMean (non-DP),2,80,0.662
ALIE,TrimmedMean (non-DP),2,85,0.6723
ALIE,TrimmedMean (non-DP),2,90,0.6524
ALIE,TrimmedMean (non-DP),2,95,0.6612
ALIE,TrimmedMean (non-DP),2,100,0.6731
ALIE,TrimmedMean (non-DP),2,105,0.6465
ALIE,TrimmedMean (non-DP),2,110,0.6419
ALIE,TrimmedMean (non-DP),2,115,0.6411
ALIE,TrimmedMean (non-DP),2,120,0.6447
ALIE,TrimmedMean (non-DP),2,125,0.6485
ALIE,TrimmedMean (non-DP),2,130,0.6278
ALIE,TrimmedMean (non-DP),2,135,0.6225
ALIE,TrimmedMean (non-DP),2,140,0.6338
ALIE,TrimmedMean (non-DP),2,145,0.6302
ALIE,TrimmedMean (non-DP),2,150,0.621
ALIE,TrimmedMean (non-DP),2,155,0.6198
ALIE,TrimmedMean (non-DP),2,160,0.6159
ALIE,TrimmedMean (non-DP),2,165,0.6111
ALIE,TrimmedMean (non-DP),2,170,0.6197
ALIE,TrimmedMean (non-DP),2,175,0.6175
ALIE,TrimmedMean (non-DP),2,180,0.5987
ALIE,Krum (non-DP),0,0,0.0427
ALIE,Krum (non-DP),0,5,0.4574
ALIE,Krum (non-DP),0,10,0.543
ALIE,Krum (non-DP),0,15,0.5452
ALIE,Krum (non-DP),0,20,0.5848
ALIE,Krum (non-DP),0,25,0.5915
ALIE,Krum (non-DP),0,30,0.6421
ALIE,Krum (non-DP),0,35,0.6312
ALIE,Krum (non-DP),0,40,0.6264
ALIE,Krum (non-DP),0,45,0.6654
ALIE,Krum (non-DP),0,50,0.6681
ALIE,Krum (non-DP),0,55,0.6834
ALIE,Krum (non-DP),0,60,0.6786
ALIE,Krum (non-DP),0,65,0.684
ALIE,Krum (non-DP),0,70,0.6744
ALIE,Krum (non-DP),0,75,0.6908
ALIE,Krum (non-DP),0,80,0.6904
ALIE,Krum (non-DP),0,85,0.7007
ALIE,Krum (non-DP),0,90,0.7033
ALIE,Krum (non-DP),0,95,0.7036
ALIE,Krum (non-DP),0,100,0.6991
ALIE,Krum (non-DP),0,105,0.707
ALIE,Krum (non-DP),0,110,0.7079
ALIE,Krum (non-DP),0,115,0.7166
ALIE,Krum (non-DP),0,120,0.7165
ALIE,Krum (non-DP),0,125,0.7175
ALIE,Krum (non-DP),0,130,0.7137
ALIE,Krum (non-DP),0,135,0.7154
ALIE,Krum (non-DP),0,140,0.7191
ALIE,Krum (non-DP),0,145,0.7012
ALIE,Krum (non-DP),0,150,0.7189
ALIE,Krum (non-DP),0,155,0.7248
ALIE,Krum (non-DP),0,160,0.724
ALIE,Krum (non-DP),0,165,0.7184
ALIE,Krum (non-DP),0,170,0.7216
ALIE,Krum (non-DP),0,175,0.7166
ALIE,Krum (non-DP),0,180,0.7205
ALIE,Krum (non-DP),1,0,0.1713
ALIE,Krum (non-DP),1,5,0.3439
ALIE,Krum (non-DP),1,10,0.4712
ALIE,Krum (non-DP),1,15,0.4807
ALIE,Krum (non-DP),1,20,0.5547
ALIE,Krum (non-DP),1,25,0.4825
ALIE,Krum (non-DP),1,30,0.4867
ALIE,Krum (non-DP),1,35,0.5518
ALIE,Krum (non-DP),1,40,0.5635
ALIE,Krum (non-DP),1,45,0.5879
ALIE,Krum (non-DP),1,50,0.6145
ALIE,Krum (non-DP),1,55,0.6254
ALIE,Krum (non-DP),1,60,0.647
ALIE,Krum (non-DP),1,65,0.6541
ALIE,Krum (non-DP),1,70,0.661
ALIE,Krum (non-DP),1,75,0.6279
ALIE,Krum (non-DP),1,80,0.6821
ALIE,Krum (non-DP),1,85,0.6729
ALIE,Krum (non-DP),1,90,0.6686
ALIE,Krum (non-DP),1,95,0.6814
ALIE,Krum (non-DP),1,100,0.6678
ALIE,Krum (non-DP),1,105,0.6737
ALIE,Krum (non-DP),1,110,0.6822
ALIE,Krum (non-DP),1,115,0.6582
ALIE,Krum (non-DP),1,120,0.6715
ALIE,Krum (non-DP),1,125,0.6755
ALIE,Krum (non-DP),1,130,0.6846
ALIE,Krum (non-DP),1,135,0.6926
ALIE,Krum (non-DP),1,140,0.6785
ALIE,Krum (non-DP),1,145,0.6567
ALIE,Krum (non-DP),1,150,0.6906
ALIE,Krum (non-DP),1,155,0.7066
ALIE,Krum (non-DP),1,160,0.6964
ALIE,Krum (non-DP),1,165,0.709
ALIE,Krum (non-DP),1,170,0.7104
ALIE,Krum (non-DP),1,175,0.7048
ALIE,Krum (non-DP),1,180,0.7047
ALIE,Krum (non-DP),2,0,0.1001
ALIE,Krum (non-DP),2,5,0.4597
ALIE,Krum (non-DP),2,10,0.5041
ALIE,Krum (non-DP),2,15,0.6446
ALIE,Krum (non-DP),2,20,0.6263
ALIE,Krum (non-DP),2,25,0.6673
ALIE,Krum (non-DP),2,30,0.6619
ALIE,Krum (non-DP),2,35,0.6814
ALIE,Krum (non-DP),2,40,0.6791
ALIE,Krum (non-DP),2,45,0.7022
ALIE,Krum (non-DP),2,50,0.682
ALIE,Krum (non-DP),2,55,0.683
ALIE,Krum (non-DP),2,60,0.6877
ALIE,Krum (non-DP),2,65,0.6975
ALIE,Krum (non-DP),2,70,0.7204
ALIE,Krum (non-DP),2,75,0.685
ALIE,Krum (non-DP),2,80,0.7138
ALIE,Krum (non-DP),2,85,0.7281
ALIE,Krum (non-DP),2,90,0.7248
ALIE,Krum (non-DP),2,95,0.7317
ALIE,Krum (non-DP),2,100,0.7316
ALIE,Krum (non-DP),2,105,0.6974
ALIE,Krum (non-DP),2,110,0.7187
ALIE,Krum (non-DP),2,115,0.7313
ALIE,Krum (non-DP),2,120,0.7301
ALIE,Krum (non-DP),2,125,0.7287
ALIE,Krum (non-DP),2,130,0.7213
ALIE,Krum (non-DP),2,135,0.7209
ALIE,Krum (non-DP),2,140,0.7275
ALIE,Krum (non-DP),2,145,0.704
ALIE,Krum (non-DP),2,150,0.7101
ALIE,Krum (non-DP),2,155,0.7313
ALIE,Krum (non-DP),2,160,0.7274
ALIE,Krum (non-DP),2,165,0.7162
ALIE,Krum (non-DP),2,170,0.7247
ALIE,Krum (non-DP),2,175,0.7304
ALIE,Krum (non-DP),2,180,0.7235
ALIE,Bulyan (non-DP),0,0,0.0427
ALIE,Bulyan (non-DP),0,5,0.6663
ALIE,Bulyan (non-DP),0,10,0.7295
ALIE,Bulyan (non-DP),0,15,0.733
ALIE,Bulyan (non-DP),0,20,0.7557
ALIE,Bulyan (non-DP),0,25,0.7601
ALIE,Bulyan (non-DP),0,30,0.7748
ALIE,Bulyan (non-DP),0,35,0.7793
ALIE,Bulyan (non-DP),0,40,0.7838
ALIE,Bulyan (non-DP),0,45,0.7829
ALIE,Bulyan (non-DP),0,50,0.7885
ALIE,Bulyan (non-DP),0,55,0.7931
ALIE,Bulyan (non-DP),0,60,0.7941
ALIE,Bulyan (non-DP),0,65,0.793
ALIE,Bulyan (non-DP),0,70,0.7958
ALIE,Bulyan (non-DP),0,75,0.7976
ALIE,Bulyan (non-DP),0,80,0.7995
ALIE,Bulyan (non-DP),0,85,0.8021
ALIE,Bulyan (non-DP),0,90,0.8035
ALIE,Bulyan (non-DP),0,95,0.8024
ALIE,Bulyan (non-DP),0,100,0.8045
ALIE,Bulyan (non-DP),0,105,0.8065
ALIE,Bulyan (non-DP),0,110,0.8065
ALIE,Bulyan (non-DP),0,115,0.8085
ALIE,Bulyan (non-DP),0,120,0.8105
ALIE,Bulyan (non-DP),0,125,0.8104
ALIE,Bulyan (non-DP),0,130,0.8102
ALIE,Bulyan (non-DP),0,135,0.8139
ALIE,Bulyan (non-DP),0,140,0.8142
ALIE,Bulyan (non-DP),0,145,0.8147
ALIE,Bulyan (non-DP),0,150,0.814
ALIE,Bulyan (non-DP),0,155,0.8169
ALIE,Bulyan (non-DP),0,160,0.8164
ALIE,Bulyan (non-DP),0,165,0.8163
ALIE,Bulyan (non-DP),0,170,0.8175
ALIE,Bulyan (non-DP),0,175,0.8183
ALIE,Bulyan (non-DP),0,180,0.818
ALIE,Bulyan (non-DP),1,0,0.1713
ALIE,Bulyan (non-DP),1,5,0.6509
ALIE,Bulyan (non-DP),1,10,0.6995
ALIE,Bulyan (non-DP),1,15,0.7272
ALIE,Bulyan (non-DP),1,20,0.7383
ALIE,Bulyan (non-DP),1,25,0.7525
ALIE,Bulyan (non-DP),1,30,0.752
ALIE,Bulyan (non-DP),1,35,0.7642
ALIE,Bulyan (non-DP),1,40,0.7652
ALIE,Bulyan (non-DP),1,45,0.7693
ALIE,Bulyan (non-DP),1,50,0.7722
ALIE,Bulyan (non-DP),1,55,0.7755
ALIE,Bulyan (non-DP),1,60,0.7792
ALIE,Bulyan (non-DP),1,65,0.7829
ALIE,Bulyan (non-DP),1,70,0.7802
ALIE,Bulyan (non-DP),1,75,0.7865
ALIE,Bulyan (non-DP),1,80,0.789
ALIE,Bulyan (non-DP),1,85,0.7916
ALIE,Bulyan (non-DP),1,90,0.7913
ALIE,Bulyan (non-DP),1,95,0.7946
ALIE,Bulyan (non-DP),1,100,0.7936
ALIE,Bulyan (non-DP),1,105,0.7969
ALIE,Bulyan (non-DP),1,110,0.7979
ALIE,Bulyan (non-DP),1,115,0.7981
ALIE,Bulyan (non-DP),1,120,0.7993
ALIE,Bulyan (non-DP),1,125,0.8007
ALIE,Bulyan (non-DP),1,130,0.8008
ALIE,Bulyan (non-DP),1,135,0.8015
ALIE,Bulyan (non-DP),1,140,0.8027
ALIE,Bulyan (non-DP),1,145,0.8044
ALIE,Bulyan (non-DP),1,150,0.805
ALIE,Bulyan (non-DP),1,155,0.8052
ALIE,Bulyan (non-DP),1,160,0.8069
ALIE,Bulyan (non-DP),1,165,0.8089
ALIE,Bulyan (non-DP),1,170,0.8085
ALIE,Bulyan (non-DP),1,175,0.8095
ALIE,Bulyan (non-DP),1,180,0.809
ALIE,Bulyan (non-DP),2,0,0.1001
ALIE,Bulyan (non-DP),2,5,0.6193
ALIE,Bulyan (non-DP),2,10,0.72
ALIE,Bulyan (non-DP),2,15,0.7277
ALIE,Bulyan (non-DP),2,20,0.7511
ALIE,Bulyan (non-DP),2,25,0.753
ALIE,Bulyan (non-DP),2,30,0.7576
ALIE,Bulyan (non-DP),2,35,0.7682
ALIE,Bulyan (non-DP),2,40,0.7709
ALIE,Bulyan (non-DP),2,45,0.7765
ALIE,Bulyan (non-DP),2,50,0.7742
ALIE,Bulyan (non-DP),2,55,0.7791
ALIE,Bulyan (non-DP),2,60,0.7804
ALIE,Bulyan (non-DP),2,65,0.7848
ALIE,Bulyan (non-DP),2,70,0.7893
ALIE,Bulyan (non-DP),2,75,0.7878
ALIE,Bulyan (non-DP),2,80,0.7941
ALIE,Bulyan (non-DP),2,85,0.7932
ALIE,Bulyan (non-DP),2,90,0.7947
ALIE,Bulyan (non-DP),2,95,0.795
ALIE,Bulyan (non-DP),2,100,0.7975
ALIE,Bulyan (non-DP),2,105,0.7989
ALIE,Bulyan (non-DP),2,110,0.7983
ALIE,Bulyan (non-DP),2,115,0.8026
ALIE,Bulyan (non-DP),2,120,0.7978
ALIE,Bulyan (non-DP),2,125,0.8029
ALIE,Bulyan (non-DP),2,130,0.803
ALIE,Bulyan (non-DP),2,135,0.8036
ALIE,Bulyan (non-DP),2,140,0.8035
ALIE,Bulyan (non-DP),2,145,0.8039
ALIE,Bulyan (non-DP),2,150,0.8054
ALIE,Bulyan (non-DP),2,155,0.8076
ALIE,Bulyan (non-DP),2,160,0.8061
ALIE,Bulyan (non-DP),2,165,0.8086
ALIE,Bulyan (non-DP),2,170,0.8082
ALIE,Bulyan (non-DP),2,175,0.8094
ALIE,Bulyan (non-DP),2,180,0.8108
FANG,DP-FedAvg,0,0,0.0427
FANG,DP-FedAvg,0,5,0.5484
FANG,DP-FedAvg,0,10,0.6279
FANG,DP-FedAvg,0,15,0.682
FANG,DP-FedAvg,0,20,0.7034
FANG,DP-FedAvg,0,25,0.7264
FANG,DP-FedAvg,0,30,0.7441
FANG,DP-FedAvg,0,35,0.7566
FANG,DP-FedAvg,0,40,0.7544
FANG,DP-FedAvg,0,45,0.7677
FANG,DP-FedAvg,0,50,0.7607
FANG,DP-FedAvg,0,55,0.7709
FANG,DP-FedAvg,0,60,0.7676
FANG,DP-FedAvg,0,65,0.7642
FANG,DP-FedAvg,0,70,0.7718
FANG,DP-FedAvg,0,75,0.7773
FANG,DP-FedAvg,0,80,0.7713
FANG,DP-FedAvg,0,85,0.7782
FANG,DP-FedAvg,0,90,0.7789
FANG,DP-FedAvg,0,95,0.7808
FANG,DP-FedAvg,0,100,0.7856
FANG,DP-FedAvg,0,105,0.7829
FANG,DP-FedAvg,0,110,0.7792
FANG,DP-FedAvg,0,115,0.7886
FANG,DP-FedAvg,0,120,0.775
FANG,DP-FedAvg,0,125,0.7813
FANG,DP-FedAvg,0,130,0.7807
FANG,DP-FedAvg,0,135,0.7707
FANG,DP-FedAvg,0,140,0.7751
FANG,DP-FedAvg,0,145,0.7724
FANG,DP-FedAvg,0,150,0.7675
FANG,DP-FedAvg,0,155,0.7771
FANG,DP-FedAvg,0,160,0.7673
FANG,DP-FedAvg,0,165,0.7654
FANG,DP-FedAvg,0,170,0.7664
FANG,DP-FedAvg,0,175,0.7621
FANG,DP-FedAvg,0,180,0.7617
FANG,DP-FedAvg,1,0,0.1713
FANG,DP-FedAvg,1,5,0.5034
FANG,DP-FedAvg,1,10,0.5989
FANG,DP-FedAvg,1,15,0.6669
FANG,DP-FedAvg,1,20,0.7147
FANG,DP-FedAvg,1,25,0.7291
FANG,DP-FedAvg,1,30,0.7419
FANG,DP-FedAvg,1,35,0.7496
FANG,DP-FedAvg,1,40,0.7568
FANG,DP-FedAvg,1,45,0.7595
FANG,DP-FedAvg,1,50,0.7606
FANG,DP-FedAvg,1,55,0.7726
FANG,DP-FedAvg,1,60,0.7705
FANG,DP-FedAvg,1,65,0.7769
FANG,DP-FedAvg,1,70,0.7734
FANG,DP-FedAvg,1,75,0.7736
FANG,DP-FedAvg,1,80,0.7794
FANG,DP-FedAvg,1,85,0.7812
FANG,DP-FedAvg,1,90,0.7796
FANG,DP-FedAvg,1,95,0.788
FANG,DP-FedAvg,1,100,0.7856
FANG,DP-FedAvg,1,105,0.7887
FANG,DP-FedAvg,1,110,0.779
FANG,DP-FedAvg,1,115,0.7722
FANG,DP-FedAvg,1,120,0.7862
FANG,DP-FedAvg,1,125,0.7766
FANG,DP-FedAvg,1,130,0.7766
FANG,DP-FedAvg,1,135,0.7747
FANG,DP-FedAvg,1,140,0.7798
FANG,DP-FedAvg,1,145,0.7828
FANG,DP-FedAvg,1,150,0.7725
FANG,DP-FedAvg,1,155,0.7684
FANG,DP-FedAvg,1,160,0.7708
FANG,DP-FedAvg,1,165,0.766
FANG,DP-FedAvg,1,170,0.7639
FANG,DP-FedAvg,1,175,0.7613
FANG,DP-FedAvg,1,180,0.7603
FANG,DP-FedAvg,2,0,0.1001
FANG,DP-FedAvg,2,5,0.4166
FANG,DP-FedAvg,2,10,0.6411
FANG,DP-FedAvg,2,15,0.7108
FANG,DP-FedAvg,2,20,0.7245
FANG,DP-FedAvg,2,25,0.7356
FANG,DP-FedAvg,2,30,0.7498
FANG,DP-FedAvg,2,35,0.7472
FANG,DP-FedAvg,2,40,0.7563
FANG,DP-FedAvg,2,45,0.7744
FANG,DP-FedAvg,2,50,0.7693
FANG,DP-FedAvg,2,55,0.7705
FANG,DP-FedAvg,2,60,0.7724
FANG,DP-FedAvg,2,65,0.7652
FANG,DP-FedAvg,2,70,0.773
FANG,DP-FedAvg,2,75,0.7716
FANG,DP-FedAvg,2,80,0.775
FANG,DP-FedAvg,2,85,0.7759
FANG,DP-FedAvg,2,90,0.7795
FANG,DP-FedAvg,2,95,0.7744
FANG,DP-FedAvg,2,100,0.7747
FANG,DP-FedAvg,2,105,0.7716
FANG,DP-FedAvg,2,110,0.7716
FANG,DP-FedAvg,2,115,0.773
FANG,DP-FedAvg,2,120,0.77
FANG,DP-FedAvg,2,125,0.7697
FANG,DP-FedAvg,2,130,0.7672
FANG,DP-FedAvg,2,135,0.7672
FANG,DP-FedAvg,2,140,0.7689
FANG,DP-FedAvg,2,145,0.7635
FANG,DP-FedAvg,2,150,0.7638
FANG,DP-FedAvg,2,155,0.7681
FANG,DP-FedAvg,2,160,0.7617
FANG,DP-FedAvg,2,165,0.757
FANG,DP-FedAvg,2,170,0.7517
FANG,DP-FedAvg,2,175,0.7577
FANG,DP-FedAvg,2,180,0.7558
FANG,FedVRDP,0,0,0.0427
FANG,FedVRDP,0,5,0.3416
FANG,FedVRDP,0,10,0.5435
FANG,FedVRDP,0,15,0.5554
FANG,FedVRDP,0,20,0.5649
FANG,FedVRDP,0,25,0.6055
FANG,FedVRDP,0,30,0.632
FANG,FedVRDP,0,35,0.6627
FANG,FedVRDP,0,40,0.6991
FANG,FedVRDP,0,45,0.7155
FANG,FedVRDP,0,50,0.7262
FANG,FedVRDP,0,55,0.7324
FANG,FedVRDP,0,60,0.7297
FANG,FedVRDP,0,65,0.7354
FANG,FedVRDP,0,70,0.7487
FANG,FedVRDP,0,75,0.7524
FANG,FedVRDP,0,80,0.7553
FANG,FedVRDP,0,85,0.759
FANG,FedVRDP,0,90,0.7638
FANG,FedVRDP,0,95,0.7663
FANG,FedVRDP,0,100,0.7645
FANG,FedVRDP,0,105,0.7675
FANG,FedVRDP,0,110,0.7739
FANG,FedVRDP,0,115,0.7789
FANG,FedVRDP,0,120,0.7781
FANG,FedVRDP,0,125,0.7812
FANG,FedVRDP,0,130,0.7839
FANG,FedVRDP,0,135,0.7782
FANG,FedVRDP,0,140,0.7823
FANG,FedVRDP,0,145,0.7849
FANG,FedVRDP,0,150,0.7838
FANG,FedVRDP,0,155,0.7875
FANG,FedVRDP,0,160,0.7877
FANG,FedVRDP,0,165,0.7887
FANG,FedVRDP,0,170,0.7922
FANG,FedVRDP,0,175,0.7904
FANG,FedVRDP,0,180,0.7911
FANG,FedVRDP,1,0,0.1713
FANG,FedVRDP,1,5,0.3689
FANG,FedVRDP,1,10,0.4574
FANG,FedVRDP,1,15,0.5264
FANG,FedVRDP,1,20,0.5538
FANG,FedVRDP,1,25,0.5882
FANG,FedVRDP,1,30,0.6264
FANG,FedVRDP,1,35,0.6616
FANG,FedVRDP,1,40,0.6878
FANG,FedVRDP,1,45,0.696
FANG,FedVRDP,1,50,0.7062
FANG,FedVRDP,1,55,0.7154
FANG,FedVRDP,1,60,0.7238
FANG,FedVRDP,1,65,0.7251
FANG,FedVRDP,1,70,0.7315
FANG,FedVRDP,1,75,0.7367
FANG,FedVRDP,1,80,0.7388
FANG,FedVRDP,1,85,0.7389
FANG,FedVRDP,1,90,0.7423
FANG,FedVRDP,1,95,0.7447
FANG,FedVRDP,1,100,0.7485
FANG,FedVRDP,1,105,0.7504
FANG,FedVRDP,1,110,0.7537
FANG,FedVRDP,1,115,0.7549
FANG,FedVRDP,1,120,0.7564
FANG,FedVRDP,1,125,0.7597
FANG,FedVRDP,1,130,0.7609
FANG,FedVRDP,1,135,0.7624
FANG,FedVRDP,1,140,0.7603
FANG,FedVRDP,1,145,0.7629
FANG,FedVRDP,1,150,0.7681
FANG,FedVRDP,1,155,0.7674
FANG,FedVRDP,1,160,0.7682
FANG,FedVRDP,1,165,0.7697
FANG,FedVRDP,1,170,0.7701
FANG,FedVRDP,1,175,0.7722
FANG,FedVRDP,1,180,0.7735
FANG,FedVRDP,2,0,0.1001
FANG,FedVRDP,2,5,0.252
FANG,FedVRDP,2,10,0.3754
FANG,FedVRDP,2,15,0.5657
FANG,FedVRDP,2,20,0.6446
FANG,FedVRDP,2,25,0.6433
FANG,FedVRDP,2,30,0.6605
FANG,FedVRDP,2,35,0.6747
FANG,FedVRDP,2,40,0.7003
FANG,FedVRDP,2,45,0.7177
FANG,FedVRDP,2,50,0.7217
FANG,FedVRDP,2,55,0.7339
FANG,FedVRDP,2,60,0.7344
FANG,FedVRDP,2,65,0.7388
FANG,FedVRDP,2,70,0.7436
FANG,FedVRDP,2,75,0.7467
FANG,FedVRDP,2,80,0.751
FANG,FedVRDP,2,85,0.7546
FANG,FedVRDP,2,90,0.758
FANG,FedVRDP,2,95,0.7581
FANG,FedVRDP,2,100,0.7608
FANG,FedVRDP,2,105,0.7651
FANG,FedVRDP,2,110,0.7662
FANG,FedVRDP,2,115,0.7695
FANG,FedVRDP,2,120,0.7697
FANG,FedVRDP,2,125,0.7723
FANG,FedVRDP,2,130,0.7722
FANG,FedVRDP,2,135,0.7778
FANG,FedVRDP,2,140,0.7756
FANG,FedVRDP,2,145,0.7784
FANG,FedVRDP,2,150,0.7793
FANG,FedVRDP,2,155,0.7795
FANG,FedVRDP,2,160,0.7797
FANG,FedVRDP,2,165,0.7829
FANG,FedVRDP,2,170,0.7839
FANG,FedVRDP,2,175,0.7858
FANG,FedVRDP,2,180,0.7882
FANG,AG-PTR,0,0,0.0427
FANG,AG-PTR,0,5,0.5624
FANG,AG-PTR,0,10,0.5665
FANG,AG-PTR,0,15,0.7008
FANG,AG-PTR,0,20,0.6869
FANG,AG-PTR,0,25,0.7266
FANG,AG-PTR,0,30,0.7312
FANG,AG-PTR,0,35,0.7231
FANG,AG-PTR,0,40,0.7262
FANG,AG-PTR,0,45,0.7258
FANG,AG-PTR,0,50,0.7533
FANG,AG-PTR,0,55,0.7416
FANG,AG-PTR,0,60,0.7659
FANG,AG-PTR,0,65,0.7659
FANG,AG-PTR,0,70,0.7539
FANG,AG-PTR,0,75,0.7547
FANG,AG-PTR,0,80,0.7501
FANG,AG-PTR,0,85,0.7665
